window_hours,condition,jsd_mean,jsd_variance,jsd_std,n_samples
0.25,shrinkage,0.003959800363880322,1.1033636968231802e-05,0.003321691883397947,48
0.5,shrinkage,0.004715541959899963,1.3384604674373829e-05,0.0036584975979729478,82
1.0,shrinkage,0.004836050869749843,1.783307263887176e-05,0.00422292228662472,142
3.0,shrinkage,0.005917397297624166,3.543740261072869e-05,0.005952932269959796,234
6.0,shrinkage,0.005638993176728377,2.186098250359899e-05,0.004675572959926835,268
12.0,shrinkage,0.004896792609286841,1.822946209501253e-05,0.004269597416034975,273
24.0,shrinkage,0.0036158266513630732,1.3395272873446754e-05,0.0036599553103073205,273
0.25,mle,0.13114069745314638,0.018379944943748967,0.13557265559008927,48
0.5,mle,0.11663520678103637,0.014948830730900028,0.12226541101595344,82
1.0,mle,0.10431751261733632,0.013461605621719308,0.1160241596466844,142
3.0,mle,0.05986388833223078,0.006592253374656997,0.08119269286491855,234
6.0,mle,0.03244597488391702,0.003784361492117766,0.061517164207380085,268
12.0,mle,0.014911573993225593,0.0018586314843623412,0.04311184853798711,273
24.0,mle,0.010909530920194721,0.001806933789486767,0.04250804382098483,273
