channel,K,recall,n_found,n_attack
sequence,1,0.0,0,20
sequence,3,0.0,0,20
sequence,5,0.05,1,20
sequence,10,0.15,3,20
sequence,15,0.2,4,20
sequence,20,0.25,5,20
frequency,1,0.05,1,20
frequency,3,0.15,3,20
frequency,5,0.25,5,20
frequency,10,0.5,10,20
frequency,15,0.75,15,20
frequency,20,0.9,18,20
context,1,0.05,1,20
context,3,0.15,3,20
context,5,0.25,5,20
context,10,0.5,10,20
context,15,0.75,15,20
context,20,1.0,20,20
drift,1,0.05,1,20
drift,3,0.15,3,20
drift,5,0.25,5,20
drift,10,0.5,10,20
drift,15,0.75,15,20
drift,20,1.0,20,20
fused,1,0.05,1,20
fused,3,0.15,3,20
fused,5,0.25,5,20
fused,10,0.5,10,20
fused,15,0.75,15,20
fused,20,1.0,20,20
